lemma;id;part_of_speech;forms
столъ;120312;common noun;sg., m., loc., infl.:столѣ,столе|sg., m., acc., infl.:столъ,Столъ,стол|sg., m., gen., infl.:стола|pl., m., acc., infl.:столпы,столʼпы|sg., m., nom., infl.:столъ|sg., m., ins., infl.:столпом,столомъ,столом|sg., m., dat., infl.:столѹ,столу,столꙋ|pl., m., nom., infl.:столпы,столы
небо;120313;common noun;sg., n., gen., infl.:н҃бсе,нб҃се,нб҃си,н҃бесе|pl., n., loc., infl.:нбсхъ,нб҃сѣхъ|sg., n., acc., infl.:н҃бо,нб҃о,нб҃са,нбо,небо|pl., n., acc., infl.:нб҃са|pl., n., nom., infl.:нб҃са|sg., n., loc., infl.:нб҃ѣ,нб҃си,нбс҃и,небеси,н҃бси|sg., n., dat., infl.:н҃бу,нб҃си,н҃бси,н҃бꙋ|sg., n., nom., infl.:н҃бо,нб҃о,небо|pl., m., loc., infl.:нбсѣх|sg., n., ins., infl.:нб҃омь|sg., m., gen., infl.:нб҃а|pl., n., dat., infl.:небесем|pl., n., gen., infl.:н҃бсъ
мѣсто;120314;common noun;sg., n., loc., infl.:мѣстѣ,мѣсте|pl., n., loc., infl.:мѣстѣхъ,мѣстѣ[хъ,мѣстехъ|sg., n., acc., infl.:мѣсто,мѣс,мѣстъ|sg., n., nom., infl.:мѣста,мѣсто|pl., n., dat., infl.:мѣстомъ,мѣстомь,мѣстом|pl., n., acc., infl.:мѣста|sg., n., gen., infl.:мѣста|pl., n., nom., infl.:мѣста|pl., n., gen., infl.:мѣстъ|sg., n., dat., infl.:мѣсту,мѣстѹ,мѣстꙋ|sg., n., ins., infl.:мѣстом
градъ;120315;common noun;sg., m., nom., infl.:градъ,град,градʼ|sg., m., acc., infl.:градъ,радъ,градо,град,грда,градʼ|sg., m., gen., infl.:града,гра,град|pl., m., nom., infl.:гради,грады|pl., m., acc., infl.:грады|sg., m., loc., infl.:градѣ,грѣдѣ,граде|pl., m., dat., infl.:градомъ,градом|pl., m., loc., infl.:градѣхъ,градех|sg., m., dat., infl.:граду,градѹ,градꙋ|pl., m., gen., infl.:градъ,грда,град,градовъ,градов|sg., m., ins., infl.:градомь,градом,градъмь|sg., m., voc., infl.:граде
то;120316;adverb;non-infl.:то,То
богъ;120317;common noun;sg., m., nom., infl.:б҃ъ,бъ,бгъ,бъ҃,Бъ҃,Богъ,«Богь,Богь,бг҃ъ,богъ,бог,бг҃ь,бь҃,б҃ь|sg., m., dat., infl.:б҃у,бу,б҃гу,бв҃и,бг҃ви,бу҃,Богу,бг҃ѹ,богу,богѹ,богови,бг҃у,бг҃ови,б҃ѹ,бѹ҃,бѹ,б҃гꙋ,б҃ꙋ,б҃оу,б҃ви|sg., m., gen., infl.:б҃а,б҃га,ба҃,Бога,бога,бг҃а,бг҃҃а|sg., m., voc., infl.:б҃е,боже,бѕ҃ѣ,бж҃е|pl., m., acc., infl.:б҃ы|pl., m., dat., infl.:б҃мъ,бгм҃ь,бм҃ь|pl., m., nom., infl.:б҃зи,бз҃и,бози|du., m., nom., infl.:б҃а|sg., m., ins., infl.:б҃омь,б҃мь,бм҃ь,бо҃мь,б҃о,бг҃мь,Богом,бъгъмь,бг҃омъ,бг҃ом,бго҃мъ,богмь,бъ҃мь|sg., m., loc., infl.:бз҃ѣ,боѕѣ,бозѣ,бѕ҃ѣ,бѕѣ|pl., m., gen., infl.:б҃овъ|sg., m., acc., infl.:б҃ъ
видѣти;120318;verb;pres., inf., act., infl.:видѣти,видѣть,вѣдити|2nd p., pl., pres., ind., act., infl.:видите|3rd p., sg., aor., ind., act., infl.:видѣ|1st p., sg., aor., ind., act., infl.:видѣхъ,видѣх|sg., pres., part., act., f., nom., strong, infl.:видѧщи,видꙗщи|sg., past, part., act., m., nom., strong, infl.:видѣвъ,видѣв,видивъ,видѣвь,видев,видѣвʼ|pl., past, part., act., m., nom., strong, infl.:видѣвше,видѣвъше,вїдѣвъше,видѣвши|2nd p., sg., pres., ind., act., infl.:видиши,видишь,видиш|pl., pres., part., act., m., nom., strong, infl.:видѧща,видуче,видѧще,видꙗще,видѧщи|2nd p., sg., pres., imp., act., infl.:вижь,види,виждь|sg., past, part., act., f., nom., strong, infl.:видѣвши,видѣвъши|3rd p., sg., imperf., ind., act., infl.:видѧше,видꙗше,видѧаше|du., past, part., act., m., nom., strong, infl.:видѣвша,видѣвъша|1st p., pl., aor., ind., act., infl.:видѣхомъ,видѣхомы|3rd p., pl., aor., ind., act., infl.:видѣша|3rd p., pl., pres., ind., act., infl.:видѧть,видꙗть,видятъ,видят|sg., pres., part., act., m., nom., strong, infl.:видѧ,вида,видꙗ,видя|sg., result., part., act., m., nom., strong, infl.:видѣлъ,виделъ,видѣл|pl., pres., part., act., m., dat., weak, infl.:видѧщим|1st p., pl., pres., ind., act., infl.:видим,видимъ|3rd p., sg., pres., ind., act., infl.:видить,видит,видитъ|3rd p., du., aor., ind., act., infl.:видѣста,видѧста|2nd p., pl., pres., imp., act., infl.:видите|pl., result., part., act., m., nom., strong, infl.:вїдѣли,видели,видѣли|sg., pres., part., pass., f., nom., weak, infl.:видомаѧ|1st p., sg., pres., ind., act., infl.:вижу,вижю|sg., pres., part., pass., n., nom., weak, infl.:видимое,видимоѥ|sg., past, part., act., m., nom., weak, infl.:видѣвы|sup., nom., infl.:видѣтъ|sg., pres., part., pass., f., nom., strong, infl.:видима|3rd p., pl., imperf., ind., act., infl.:видѧхѹть|pl., past, part., act., f., nom., strong, infl.:видѣвше|pl., past, part., act., n., nom., strong, infl.:видѣвша|2nd p., sg., aor., ind., act., infl.:видѣ
родъ;120319;common noun;sg., m., nom., infl.:родъ,род,Родъ|pl., m., ins., infl.:роды|sg., m., ins., infl.:родомъ,родомь,родом,родъмь|sg., m., loc., infl.:родѣ|sg., m., gen., infl.:рода,рада,роду|sg., m., acc., infl.:родъ,род|pl., m., dat., infl.:родомъ|pl., m., acc., infl.:роды,роди|sg., m., dat., infl.:роду,родѹ,родоу|pl., m., nom., infl.:роди|pl., m., gen., infl.:родовъ
съмѣсити;120321;verb;3rd p., sg., aor., ind., act., infl.:съмѣси
о;120322;preposition;non-infl.:ѡ,ѡб,о,ѡбъ,О,ѡ҃,Ѡ,ѡбо,Ѿ,ѻ
вѣтръ;120323;common noun;sg., m., ins., infl.:вѣтромъ,вѣтрамъ|pl., m., acc., infl.:вѣтры|sg., m., nom., infl.:вѣтръ|sg., m., dat., infl.:вѣтру|sg., m., acc., infl.:вѣтръ
останъкъ;120324;common noun;sg., m., nom., infl.:ѡстанокъ|pl., m., acc., infl.:ѡстанки
лѣто;120326;common noun;pl., n., gen., infl.:лѣт,лѣтъ,лѣт,леть,лѣт҃,лѣ҃т|pl., n., acc., infl.:лѣта,та,лѣт|sg., n., ins., infl.:лѣтомъ|pl., n., loc., infl.:лѣтѣхъ,лѣтех|sg., n., acc., infl.:лѣт,лѣто,лѣ,лѣто,лтѣ,лето,лѣ҃т|sg., n., gen., infl.:лѣта,лѣт,л҃ѣта|du., n., loc., infl.:лѣту|sg., n., loc., infl.:лѣтѣ,лѣт,лтѣ,лѣте,лете|pl., m., gen., infl.:лѣтъ|sg., n., dat., infl.:лѣту|pl., n., dat., infl.:лѣтомъ|pl., n., nom., infl.:лѣта|du., n., acc., infl.:лѣта,лѣтѣ|pl., n., ins., infl.:лѣты
хранити;120328;verb;sg., pres., part., pass., m., nom., strong, infl.:хранимъ|pres., inf., act., infl.:хранити|1st p., pl., pres., ind., act., infl.:хранимъ|3rd p., sg., pres., ind., act., infl.:хранить,хранит,хранитъ|pl., pres., part., act., m., nom., strong, infl.:хранѧще|2nd p., sg., pres., imp., act., infl.:храни|1st p., sg., aor., ind., act., infl.:хранѧхъ|2nd p., sg., pres., ind., act., infl.:хранїши|3rd p., sg., imperf., ind., act., infl.:хранѧше
а;120330;conjunction;non-infl.:а,а.,А,a
племя;120331;common noun;sg., n., ins., infl.:племѧнемъ|sg., n., gen., infl.:племени,племене,племѧни,племяни|sg., n., acc., infl.:племѧ|sg., n., nom., infl.:племѧ|sg., n., loc., infl.:племени|pl., n., dat., infl.:племѧнемʼ
слово;120332;common noun;pl., n., acc., infl.:словеса,слова|sg., n., nom., infl.:слово|sg., n., ins., infl.:словомъ,словомь,словом,словъмь|sg., n., acc., infl.:слово|sg., n., gen., infl.:слова,словесе|pl., n., nom., infl.:словеса,слова|pl., n., ins., infl.:словесы,словеси|pl., n., gen., infl.:словесъ,словес,слов|pl., n., loc., infl.:словесѣхъ|sg., n., dat., infl.:словеси,слову,словѹ|pl., n., dat., infl.:словом|sg., n., loc., infl.:словеси|sg., n., voc., infl.:слове
разити;120334;verb;3rd p., pl., aor., ind., act., infl.:разидоша,разыдоша|3rd p., sg., aor., ind., act., infl.:разиде|3rd p., du., aor., ind., act., infl.:разидоста|3rd p., pl., pres., ind., act., infl.:разидут,разидѹть|3rd p., sg., pres., ind., act., infl.:разоидет,разидеть|sg., result., part., act., n., nom., strong, infl.:разошло
тꙑ;120338;personal pronoun;3rd p., pl., m., nom., infl.:ти
овъ;120339;demonstrative pronoun;pl., m., nom., infl.:ѡви,ѡвы,ѡвїи|pl., m., dat., infl.:ѡвѣмъ,ѡвѣм,овѣмъ|sg., m., dat., infl.:ѡвому|pl., m., gen., infl.:ѡвѣхъ,ѡвыхъ|pl., m., acc., infl.:ѡви,ѡвы|sg., m., nom., infl.:ѡвъ,овъ|pl., n., acc., infl.:ова
тако;120341;adverb;non-infl.:тако,такъ,так,також,Тако
зане;120342;subjunction;non-infl.:зане,зань
рѣчь;120344;common noun;pl., f., acc., infl.:рѣчи|sg., f., acc., infl.:рѣчь|sg., f., nom., infl.:рѣчь,рѣч|pl., f., ins., infl.:рѣчьми,речми|pl., f., nom., infl.:речи,рѣчи|pl., f., gen., infl.:речеи|pl., f., loc., infl.:речех|sg., f., dat., infl.:рѣчи|du., f., acc., infl.:рѣчи
ради;120345;preposition;non-infl.:ради,рад,рад.,ра
сѣверъ;120347;common noun;sg., m., nom., infl.:сѣверъ|sg., m., acc., infl.:сѣверъ|pl., m., gen., infl.:сѣверъ|sg., m., dat., infl.:сѣверу|sg., m., ins., infl.:сѣвером|sg., m., gen., infl.:сѣвера
идти;120349;verb;3rd p., sg., pres., ind., act., infl.:идеть,иде,идет,идетъ,ꙇдеть,идѣть|pres., inf., act., infl.:ити,итї,ꙇти,ꙇтти,итти,итʼти|3rd p., sg., aor., ind., act., infl.:иде,Иде|sg., pres., part., act., f., dat., strong, infl.:идучи|sg., pres., part., act., m., dat., strong, infl.:идущю,идȣщȣ,идѹщю,идоущꙋ|3rd p., pl., aor., ind., act., infl.:идоша,идаша,Идоша|pl., pres., part., act., m., nom., strong, infl.:идуче,идуще,ꙇдучи,идѹще|1st p., pl., pres., ind., act., infl.:идемъ|3rd p., pl., pres., ind., act., infl.:идуть,идут,идутъ,идѹть|2nd p., pl., pres., imp., act., infl.:идѣте|2nd p., sg., pres., ind., act., infl.:идеши,идешь|1st p., sg., pres., ind., act., infl.:иду,идѹ|sg., pres., part., act., f., nom., strong, infl.:идущи|3rd p., du., aor., ind., act., infl.:идета,идоста,идѧста|2nd p., sg., pres., imp., act., infl.:иди|sg., past, part., act., m., nom., strong, infl.:ишедъ,шедъ,шед,ишьдъ,шьдъ|pl., past, part., act., m., nom., strong, infl.:шедше,шедъше,шьдъше,ишьдъше|pl., pres., part., act., m., acc., strong, infl.:идуща|sg., pres., part., act., m., nom., strong, infl.:ида,ꙇдучи,идучи|3rd p., pl., imperf., ind., act., infl.:идѧху|sg., past, part., act., m., dat., strong, infl.:шедшю,шедъшю,шьдъшю|pl., pres., part., act., m., dat., strong, infl.:идущемъ,идѹщемъ|sg., pres., part., act., m., gen., strong, infl.:идуща|3rd p., sg., imperf., ind., act., infl.:идѧше,идꙗаше,идꙗшеть,идꙗше|sg., pres., part., act., m., acc., strong, infl.:идущь|2nd p., pl., pres., ind., act., infl.:идете|sg., result., part., act., m., nom., strong, infl.:шелъ,шел|sg., pres., part., act., m., ins., weak, infl.:идущимъ|sg., pres., part., act., n., nom., strong, infl.:идуще|1st p., sg., aor., ind., act., infl.:идохъ,идох|1st p., pl., aor., ind., act., infl.:идохом|pl., result., part., act., m., nom., strong, infl.:шли,шьли|du., pres., part., act., m., dat., strong, infl.:идущема|sg., pres., part., act., m., nom., weak, infl.:Идыи,идыи|3rd p., du., pres., ind., act., infl.:идета|pl., pres., part., act., m., dat., weak, infl.:ꙇдущим|sg., past, part., act., f., nom., strong, infl.:шедъши|du., past, part., act., m., dat., strong, infl.:шедъшема
приити;120350;verb;pl., past, part., act., m., nom., strong, infl.:пришедше,пришедъше,прешедъше,пришьдъше|pres., inf., act., infl.:прити,приити,прїити|sg., past, part., act., m., dat., strong, infl.:пришедшю,пришедъшю,прїшедшю,пришьдъшю|3rd p., sg., aor., ind., act., infl.:приде,Приде,пріде,прїде,придѣ,прииде,прїйде,прїиде|3rd p., pl., aor., ind., act., infl.:придоша,Придоша,прідоша,приидоша,прїидоша|du., past, part., act., m., nom., strong, infl.:пришедъша,пришьдъша|3rd p., du., aor., ind., act., infl.:придоста|2nd p., du., pres., imp., act., infl.:придѣта|sg., past, part., act., m., nom., strong, infl.:пришедъ,прише,Пришедъ,пришед,пришь,пришьдъ,пришедʼ|du., past, part., act., m., dat., strong, infl.:пришедъшема,пришедшема,пришьдъшема|pl., past, part., act., m., dat., strong, infl.:пришедъшемъ,пришьдъшемъ|pl., past, part., act., m., dat., weak, infl.:пришедшимъ,пришедъшимъ|3rd p., pl., pres., ind., act., infl.:придуть,придут,прїидѹтъ,прїидѹт,приидѹть,прїидꙋть|3rd p., sg., pres., ind., act., infl.:придеть,прідеть,прїидетъ,придет,приидеть,прїидеть|1st p., pl., aor., ind., act., infl.:придохомъ,придохо,придохом,приидохомъ|2nd p., pl., aor., ind., act., infl.:придосте|1st p., sg., pres., ind., act., infl.:приду,прїиду|2nd p., pl., pres., imp., act., infl.:придите,придѣте|sg., past, part., act., m., gen., strong, infl.:пришедша,пришьдъша,пришедʼша|sg., result., part., act., m., nom., strong, infl.:пришелъ,прішелъ,пришел,пришьлъ|1st p., sg., aor., ind., act., infl.:придохъ,придох,прїидох,приидохъ,прїдохъ,прїидохъ,приидох꙽|sg., result., part., act., f., nom., strong, infl.:пришла,пришьла|pl., result., part., act., m., nom., strong, infl.:пришли,пришьли,пришлї|2nd p., sg., pres., imp., act., infl.:приди,прииди|1st p., pl., pres., ind., act., infl.:придемъ|sg., pres., part., act., m., loc., weak, infl.:придущемь|du., result., part., act., m., nom., strong, infl.:пришла|3rd p., pl., imperf., ind., act., infl.:придѧху|pl., past, part., act., m., ins., weak, infl.:пришедшими|2nd p., sg., pres., ind., act., infl.:придеши|sg., past, part., act., n., acc., weak, infl.:пришедшее,пришьдъшеѥ|pl., result., part., act., f., nom., strong, infl.:пришли|sg., result., part., act., n., nom., strong, infl.:пришло|sg., past, part., act., f., dat., strong, infl.:пришьдъши|sg., past, part., act., f., nom., strong, infl.:пришедъши,пришьдъши|sg., pres., part., act., m., acc., weak, infl.:приидѹщии|3rd p., sg., imperf., ind., act., infl.:приидѧше|2nd p., pl., pres., ind., act., infl.:прїидѣте|sg., past, part., act., m., gen., weak, infl.:пришедʼшаго|1st p., pl., pres., imp., act., infl.:прїидем
полъ;120352;common noun;sg., m., nom., infl.:полъ|sg., m., acc., infl.:полъ|pl., m., acc., infl.:полы|sg., m., gen., infl.:полѹ|sg., m., loc., infl.:полу
хвала;120353;common noun;sg., f., acc., infl.:хвалу,хвалꙋ|sg., f., nom., infl.:хвала
доити;120354;verb;pres., inf., act., infl.:доити|sg., past, part., act., m., dat., strong, infl.:дощедшю,дошедшю,дошьдъшю|sg., past, part., act., m., nom., strong, infl.:дошед,дошедъ,дошьдъ|sg., result., part., act., m., nom., strong, infl.:дошелъ,дошел|pl., past, part., act., m., nom., weak, infl.:дшшее|1st p., pl., aor., ind., act., infl.:доидохом|pl., past, part., act., m., nom., strong, infl.:дошедше,дошьдъше|sg., result., part., act., f., nom., strong, infl.:дошла|sg., pres., part., act., m., nom., strong, infl.:доида|3rd p., sg., aor., ind., act., infl.:доиде|pl., result., part., act., m., nom., strong, infl.:дошли
петровъ;120356;adjective;sg., m., nom., pos., strong, infl.:петровъ|sg., m., ins., pos., weak, infl.:петровым|sg., m., acc., pos., strong, infl.:петров
ꙗкоже;120357;relative adverb;non-infl.:якоже
въсхотѣти;120359;verb;3rd p., sg., aor., ind., act., infl.:въсхотѣ,всхотѣ,въсʼхотѣ|3rd p., pl., aor., ind., act., infl.:всхотѣша,въсхотѣша|1st p., pl., aor., ind., act., infl.:въсхотѣхомъ|2nd p., sg., aor., ind., act., infl.:въсхотѣ|sg., result., part., act., m., nom., strong, infl.:восхотѣлъ|pres., inf., act., infl.:въсхотѣти|3rd p., pl., pres., ind., act., infl.:въсхотѧть|2nd p., sg., pres., ind., act., infl.:въсхощеши
поити;120360;verb;sg., result., part., act., f., nom., strong, infl.:пошла|pres., inf., act., infl.:поити|3rd p., sg., aor., ind., act., infl.:поиде,оиде,Поиде,Поиди|2nd p., pl., pres., imp., act., infl.:поидѣте|3rd p., du., aor., ind., act., infl.:поидоста,подоста|2nd p., sg., pres., imp., act., infl.:поиди,поиді,пѡꙇди,поди|1st p., sg., pres., ind., act., infl.:поиду,поидѹ|2nd p., sg., pres., ind., act., infl.:поидеши|2nd p., pl., pres., ind., act., infl.:поидете|sg., result., part., act., m., nom., strong, infl.:ношелъ,пошелъ,пошол,пошел|1st p., pl., pres., ind., act., infl.:поидемъ,поидем,поидѣмъ|3rd p., pl., aor., ind., act., infl.:поидоша,подиоша|3rd p., sg., pres., ind., act., infl.:поидеть,поидет,пѡидеть|1st p., pl., pres., imp., act., infl.:поидемъ,поидем|2nd p., du., pres., imp., act., infl.:поидѣта,поидита|1st p., du., pres., imp., act., infl.:поидевѣ|sg., past, part., act., m., nom., strong, infl.:пошедъ|pl., past, part., act., m., dat., weak, infl.:пошедшим|pl., result., part., act., m., nom., strong, infl.:пошли|3rd p., pl., pres., ind., act., infl.:пѡꙇдуть|pl., result., part., act., n., nom., strong, infl.:пошли|1st p., sg., aor., ind., act., infl.:поидохъ,поидох
