from полѣзти	 to 	ползти	 distance == 1
from прибавити	 to 	пробавити	 distance == 1
from залечи	 to 	залещи	 distance == 1
from хорсъ	 to 	хоръ	 distance == 1
from тереба	 to 	треба	 distance == 1
from послѣдь	 to 	послѣди	 distance == 1
from прѣдний	 to 	преждний	 distance == 1
from похотъ	 to 	похоть	 distance == 1
from селце	 to 	сельце	 distance == 1
from борисъ	 to 	сорисъ	 distance == 1
from глѣбъ	 to 	хлѣбъ	 distance == 1
from писець	 to 	писецъ	 distance == 1
from харатия	 to 	хартия	 distance == 1
from растляти	 to 	растлити	 distance == 1
from прѣлесть	 to 	зрѣлость	 distance == 2
from любодѣица	 to 	любодѣйца	 distance == 1
from наслажати	 to 	наслаждати	 distance == 1
from прѣлюбодѣица	 to 	прелюбодѣйца	 distance == 1
from льнъ	 to 	ленъ	 distance == 1
from прѣпоясати	 to 	припоясати	 distance == 1
from чрѣсла	 to 	чресло	 distance == 1
from локотъ	 to 	лакоть	 distance == 2
from прострѣти	 to 	спрострети	 distance == 1
from исполна	 to 	исполу	 distance == 2
from печи	 to 	пещи	 distance == 1
from одѣти	 to 	одѣяти	 distance == 1
from молодый	 to 	младый	 distance == 2
from одѣние	 to 	одѣяние	 distance == 1
from очервити	 to 	очернити	 distance == 1
from смысльно	 to 	смысленно	 distance == 2
from потрѣба	 to 	отреба	 distance == 1
from дияволь	 to 	диаволь	 distance == 1
from дияволъ	 to 	диаволъ	 distance == 1
from таиный	 to 	тайный	 distance == 1
from оканный	 to 	окаянный	 distance == 1
from проречи	 to 	прорещи	 distance == 1
from вещание	 to 	увѣщание	 distance == 1
from вселеная	 to 	вселенная	 distance == 1
from отѣникъ	 to 	отечникъ	 distance == 1
from передъ	 to 	предъ	 distance == 1
from повозъ	 to 	поводъ	 distance == 1
from сглядати	 to 	соглядати	 distance == 1
from колодникъ	 to 	положникъ	 distance == 2
from толи	 to 	толико	 distance == 2
from камы	 to 	камыкъ	 distance == 2
from хмель	 to 	хермель	 distance == 2
from тонути	 to 	утонути	 distance == 1
from нелюбый	 to 	любый	 distance == 2
from сквернный	 to 	скверный	 distance == 1
from кланяние	 to 	покланяние	 distance == 2
from ропата	 to 	лопата	 distance == 1
from сповѣдати	 to 	исповѣдати	 distance == 1
from святителский	 to 	святительский	 distance == 1
from сставити	 to 	составити	 distance == 1
from архиереиский	 to 	архиерейский	 distance == 1
from прѣстояние	 to 	предстояние	 distance == 1
from изумѣние	 to 	изумление	 distance == 1
from исаковъ	 to 	исааковъ	 distance == 1
from ияковль	 to 	иаковль	 distance == 1
from укусити	 to 	укасити	 distance == 1
from гаврилъ	 to 	гаригъ	 distance == 2
from назарефъ	 to 	назаретъ	 distance == 1
from мария	 to 	кария	 distance == 1
from безаконие	 to 	беззаконие	 distance == 1
from оходъ	 to 	ходъ	 distance == 1
from совкупление	 to 	совокупление	 distance == 1
from оплатокъ	 to 	остатокъ	 distance == 2
from ражати	 to 	ржати	 distance == 1
from вифлеомъ	 to 	вифлеемъ	 distance == 1
from иосифъ	 to 	сосилъ	 distance == 2
from израилевь	 to 	израилевъ	 distance == 1
from вскрѣшати	 to 	воскрешати	 distance == 1
from прокаженый	 to 	прокаженный	 distance == 1
from иерданъ	 to 	иорданъ	 distance == 1
from голубный	 to 	голубиный	 distance == 1
from вскреснути	 to 	воскреснути	 distance == 1
from архиереи	 to 	архиерей	 distance == 1
from пилатъ	 to 	платъ	 distance == 1
from го	 to 	ово	 distance == 2
from стражь	 to 	стражъ	 distance == 1
from вскресение	 to 	воскресение	 distance == 1
from сгрѣшити	 to 	согрѣшити	 distance == 1
from раи	 to 	рай	 distance == 1
from отомстие	 to 	отмытие	 distance == 2
from взити	 to 	возити	 distance == 1
from пророчение	 to 	проречение	 distance == 1
from вплотити	 to 	воплотити	 distance == 1
from гедеонъ	 to 	гедсонъ	 distance == 1
from воздхнути	 to 	воздохнути	 distance == 1
from ангелский	 to 	ангельский	 distance == 1
from сухо	 to 	ухо	 distance == 1
from пустыни	 to 	пустыня	 distance == 1
from меронъ	 to 	иеронъ	 distance == 1
from горкий	 to 	горький	 distance == 1
from взроптати	 to 	возроптати	 distance == 1
from аронъ	 to 	уронъ	 distance == 1
from сыть	 to 	сѣть	 distance == 1
from синаиский	 to 	синайский	 distance == 1
from телчий	 to 	тельчий	 distance == 1
from взвести	 to 	возвести	 distance == 1
from вамский	 to 	важский	 distance == 1
from июда	 to 	людъ	 distance == 2
